comment,time,type,id,temp,sg,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
,1672862400000,manual,manual,15.5,,gNZwxNCMPzUizNPBUm0ZU0ySFCPp5R$0$manual$manual$0,Ke9yiUrK85AcAPRVU9r6M5zRLezu2v,2023-01-04T20:00:00.000Z
,1672813800000,manual,manual,15.4,,gNZwxNCMPzUizNPBUm0ZU0ySFCPp5R$0$manual$manual$0,U1eGfApZcdks2c4EeLNg4gmO3mAbKw,2023-01-04T06:30:00.000Z
,1672786800000,manual,manual,15.5,,gNZwxNCMPzUizNPBUm0ZU0ySFCPp5R$0$manual$manual$0,3XWalMBEnaGzHnDU37BxRStZAbgtvH,2023-01-03T23:00:00.000Z
,1672772400000,manual,manual,15.5,,gNZwxNCMPzUizNPBUm0ZU0ySFCPp5R$0$manual$manual$0,ne3Dr9BDuJgxHt0sTRHrbxWkVHzbR6,2023-01-03T19:00:00.000Z
,1672686000000,manual,manual,15.7,,gNZwxNCMPzUizNPBUm0ZU0ySFCPp5R$0$manual$manual$0,FIxlbINsypCbmRGyw2Hg6crFzHAtRr,2023-01-02T19:00:00.000Z
,1672641000000,manual,manual,15.7,,gNZwxNCMPzUizNPBUm0ZU0ySFCPp5R$0$manual$manual$0,TfqkVdhHr6xcbeO9cuqdFSNkPv14yg,2023-01-02T06:30:00.000Z
,1672610400000,manual,manual,15.2,,gNZwxNCMPzUizNPBUm0ZU0ySFCPp5R$0$manual$manual$0,VxHMVojz4D7pYPU98qtzfHUh2Ki9r6,2023-01-01T22:00:00.000Z
,1672480800000,manual,manual,14.1,,gNZwxNCMPzUizNPBUm0ZU0ySFCPp5R$0$manual$manual$0,ffWcTsUCwq5gDtpH63VWVSpRtiJWjA,2022-12-31T10:00:00.000Z
,1672390800000,manual,manual,14.7,,gNZwxNCMPzUizNPBUm0ZU0ySFCPp5R$0$manual$manual$0,wgVWUYLSutYx13bkJeUZ2S1kNNsxoa,2022-12-30T09:00:00.000Z
,1672354800000,manual,manual,14.1,,gNZwxNCMPzUizNPBUm0ZU0ySFCPp5R$0$manual$manual$0,o3oG2Gdeey7edTaj9y38WvAK4wfUuC,2022-12-29T23:00:00.000Z
,1672340400000,manual,manual,14.1,,gNZwxNCMPzUizNPBUm0ZU0ySFCPp5R$0$manual$manual$0,Jif0r5cuR6l8LnjAFGjBvmXM9J14gW,2022-12-29T19:00:00.000Z
,1671775200000,manual,manual,14.4,,gNZwxNCMPzUizNPBUm0ZU0ySFCPp5R$0$manual$manual$0,xUNhQgHorm0RMhSiOpm5FIWWlTvQye,2022-12-23T06:00:00.000Z
