# Date Time  Temperature  Pressure  Gravity  pH
06-10-2025 08:18  16.4  0  1.042  5.32
06-10-2025 17:30  16.8  50
06-10-2025 20:00  17.3  50
07-10-2025 07:30  17.4  50
07-10-2025 17:45  17.4  50
07-10-2025 22:00  17.8  50
08-10-2025 07:30  17.9  50
08-10-2025 19:00  17.5  50
08-10-2025 22:00  17.4  50
09-10-2025 07:15  16.7  50
09-10-2025 17:30  16.7  50
09-10-2025 22:00  16.4  45
10-10-2025 07:45  16.6  45
10-10-2025 18:00  16.7  50
10-10-2025 22:00  16.6  50
11-10-2025 08:00  16.2  45
11-10-2025 17:00  16.7  45
11-10-2025 20:00  16.6  50
12-10-2025 09:30  16.9  45
12-10-2025 12:00  16.6  45
12-10-2025 15:45  16.3  45
12-10-2025 20:00  16.3  45
13-10-2025 08:00  17.0  40
13-10-2025 18:45  16.4  50
13-10-2025 22:00  16.3  50
14-10-2025 07:30  16.2  45
14-10-2025 18:00  16.1  45
14-10-2025 22:00  16.1  45
15-10-2025 07:00  16.1  45
15-10-2025 19:00  16.9  45
15-10-2025 22:00  16.5  45
16-10-2025 07:45  16.2  45
16-10-2025 17:30  20.3  45
16-10-2025 20:00  20.1  45
16-10-2025 22:00  20.6  45
17-10-2025 08:00  20.8  40
17-10-2025 17:30  20.2  45
17-10-2025 20:30  21.0  45
17-10-2025 23:30  20.1  45
18-10-2025 08:00  20.8  45
18-10-2025 13:30  20.6  45
18-10-2025 17:00  20.0  45
18-10-2025 20:00  20.9  45
19-10-2025 09:00  19.9  48
19-10-2025 12:00  20.9  45
19-10-2025 14:05  20.2  0  1.007  4.11
