sg,temp,id,type,comment,time,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
,20.5,manual,manual,,1631395597221,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,0HaEBjbpFMm6w85dicK7OzfCo6xgFy,2021-09-11T21:26:37.221Z
,20.4,manual,manual,,1631385124615,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,2RcLtvzUGqNdtLu676ec81b37ASkmo,2021-09-11T18:32:04.615Z
,20.2,manual,manual,,1631342022749,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,qIYBqwjBH1RUc77E6S4MkqEmqp1b41,2021-09-11T06:33:42.749Z
,20.7,manual,manual,,1631310900000,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,DmR4I3JgfBQGmCaeuMVXucLkdXD05A,2021-09-10T21:55:00.000Z
,20.5,manual,manual,,1631296866860,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,xTLUmylseVlVeGinULIfifWvSm6P8U,2021-09-10T18:01:06.860Z
,20.2,manual,manual,,1631255716427,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,x1D2KVED1liDD2iAcIFgelvNFOoQQw,2021-09-10T06:35:16.427Z
,20.7,manual,manual,,1631221333713,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,8aLf3hOExH4i9NfFG8zAXWgE3d1mjI,2021-09-09T21:02:13.713Z
,20.5,manual,manual,,1631208360000,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,8TIC4NBuYPGC0zSwFSHPz9d2395tNI,2021-09-09T17:26:00.000Z
,20.1,manual,manual,,1631164511157,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,TfETTZyGAe8j7fuw3GgyRVbTcRlN8h,2021-09-09T05:15:11.157Z
,20.4,manual,manual,,1631131503503,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,XJbszLmTmGaocsLl7vO1oWLzLtHQaD,2021-09-08T20:05:03.503Z
,20.9,manual,manual,,1631113256558,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,kONosVVbBU2dyofIhYooHCPU9sIYNX,2021-09-08T15:00:56.558Z
,20.7,manual,manual,,1631082317851,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,QgKSqnCWieQrtVQAsAgFxmfY6rjFOq,2021-09-08T06:25:17.851Z
,20.3,manual,manual,,1631051457047,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,nA8B2NGeTy1eAs5Xji5Q5JB0jclkyv,2021-09-07T21:50:57.047Z
,20,manual,manual,,1631032275590,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,1XCKLHH9baaKiNicIUK6StPUdUZX6C,2021-09-07T16:31:15.590Z
,20.9,manual,manual,,1630994675640,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,NFcdQ1mup4oIgKFQjWuHZJyvZeGHh3,2021-09-07T06:04:35.640Z
,20.5,manual,manual,,1630965032613,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,Vn0cs75CpjdwyN1El9hFhe7BKChbIl,2021-09-06T21:50:32.613Z
,20,manual,manual,,1630940398602,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,qmVQvUJcYMUbwskGzqWBQg0GqaPUia,2021-09-06T14:59:58.602Z
,20,manual,manual,,1630911884423,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,XoSuFH9M3J7WQ6SYY89KWfGhlI7B4n,2021-09-06T07:04:44.423Z
,19.7,manual,manual,,1630874872599,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,s0CcgnvmMilgMs4vsQ5jNjIl0PH2Oi,2021-09-05T20:47:52.599Z
,19.5,manual,manual,,1630854675508,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,OWSmq0SUkL6SmhaysK6Hq36bOJcFPa,2021-09-05T15:11:15.508Z
,19.6,manual,manual,,1630828858934,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,H9k44pAvygArAOPTfMztqvngbYQksH,2021-09-05T08:00:58.934Z
,19.7,manual,manual,,1630791642240,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,SADScUx8W5cbtbz5y7xGkvhhbSekaG,2021-09-04T21:40:42.240Z
,19.6,manual,manual,,1630768442643,ZL7kQePpGB79lfZcDAcPkVXePzhnrC$0$manual$manual$0,vYhbEFnmkJo3I4SfpkOU8bCYRwVi5R,2021-09-04T15:14:02.643Z
